question,answer,answer_gemma2b_hybrid
"Where did Frederick II, a memeber of the House of Hohenstaufen, invite Jacob Anatoli?",Naples,The context does not provide sufficient information to answer the question.
"Clark, Nevada, is home to what brothel that was originally known as Mustang Bridge Ranch?",The Mustang Ranch,The context does not provide sufficient information to answer the question.
 The AXIS  is a mid-sized auditorium located at a hotel and casino owned by what corporation?,Caesars Entertainment Corporation,The context does not provide sufficient information to answer the question.
What nationality was the composer and conductor of choral music Pavel Křížkovský?,Czech,The context does not provide sufficient information to answer the question.
Which aircraft originally developed for USAF has been used for medical evacuation as well as SAC joint missions? ,The Boeing C-17 Globemaster III,The context does not provide sufficient information to answer the question.
The first recording of the Mahler Symphony No. 8 was conducted by which Jewish-Polish-Irish bandleader?,Leopold Anthony Stokowski,The context does not provide sufficient information to answer the question.
"What physical feature do members of the genus Streptocitta have in common with animals considered ""piebalds?""","pied plumage and a long tail, giving them a superficial resemblance to a magpie",The context does not provide sufficient information to answer the question.
"'71 stars an actor who played what character in ""Peaky Blinders""?",Arthur Shelby,The context does not provide sufficient information to answer the question.
Peak FM is owned and operated by a broadcasting company based in what city?,Belfast,The context does not provide sufficient information to answer the question.
Were the bands Editors and Sunrise Avenue formed the same year?,yes,The context does not provide sufficient information to answer the question.
When John P. Buchanan was governor of Tennessee a labor uprising took place in which county ?,Anderson County,The context does not provide sufficient information to answer the question.
Are both Bertrand Tavernier and Agnès Varda French directors?,no,The context does not provide sufficient information to answer the question.
Romance in the Night was written by the singer who was well-known for a cover of which Doors song?,Light My Fire,The context does not provide sufficient information to answer the question.
"The actor that played the Artful Dodger in ""Oliver!"" stars with Mark Lester in a 1971 British film directed by who?",Waris Hussein,The context does not provide sufficient information to answer the question.
Judith Roberts had a role in the 2007 film by the director of what dual nationality?,Malaysian-Australian,The context does not provide sufficient information to answer the question.
Donald K. Peterson was the former CFO of a multinational telecommunications equipment company headquartered in what state?,New Jersey,The context does not provide sufficient information to answer the question.
"From which country hails Mysore Vasudevachar, the musician and composer of Carnatic music an example being Abheri, a Janya raga whose parent is Kharaharapriya?",Indian,The context does not provide sufficient information to answer the question.
"What album with a free digital down load of ""Flash Delirium"" given away on the bands official website,  marks a departure from the synthpop style that first brought the band acclaim on their debut studio album ""Oracular Spectacular""?",Congratulations,The context does not provide sufficient information to answer the question.
"Which film is more recent, Man of Aran or 51 Birch Street?",51 Birch Street,The context does not provide sufficient information to answer the question.
What composer was part of the Rose Consort of Viols?,Henry Purcell,The context does not provide sufficient information to answer the question.
Who was the kicker for the college team of the player drafted by the Ravens in the second round of the 2008 NFL Draft in 2006?,Jeremy Ito,The context does not provide sufficient information to answer the question.
Are Chen Kaige and Berthold Viertel both film directors?,yes,The context does not provide sufficient information to answer the question.
Shepherd Gate Clock was probably the first to display the solar time at which location in London?,Royal Observatory,The context does not provide sufficient information to answer the question.
Are both Luca Parmitano and Bertalan Farkas Italian?,no,The context does not provide sufficient information to answer the question.
"A university formerly known as the ""Centenary Biblical Institute"" had a Canadian player on its football who died in 2007 but first won which championship with the Argonauts in 1950?",Grey Cup,The context does not provide sufficient information to answer the question.
"Intergirl made a star of this actress, also a long term actress in which theatre?",Moscow Sovremennik Theatre,The context does not provide sufficient information to answer the question.
What cryptocurrency does Erik Voorhees and BitInstant have in common?,bitcoin,The context does not provide sufficient information to answer the question.
Jeon Do-yeon starred in Lee Chang-dong's South Korean drama film from what year,2007,"Question: Jeon Do-yeon starred in Lee Chang-dong's South Korean drama film from what year?
Final Answer: The context does not provide sufficient information to answer the question."
What episode features the character Wendy Testaburger of a show that aired on Comedy Central in August of 1997? ,Cartman Gets an Anal Probe,The context does not provide sufficient information to answer the question.
"What album, which included collaborators such as Switch, Diplo, and Richard X, was also featured in a concert tour supporting its artist's album, ""Kala?""",Arular,The context does not provide sufficient information to answer the question.
Who score two goals for West Ham to win the FA Cup Final against a a captain of the England team that won the 1966 World Cup?,Alan 'Sparrow' Taylor,The context does not provide sufficient information to answer the question.
The River Ravensbourne is a tributary of a river that is how many miles long?,215,The context does not provide sufficient information to answer the question.
What nationality was the director of Three Blind Mice?,Australian,The context does not provide sufficient information to answer the question.
Silliman University was named after a businessman from the town added to the National Register in what year?,1984,The context does not provide sufficient information to answer the question.
"Writer Aschlin Ditta partner made her musical debut appears in this London revival music, but who wrote the original film? ",Eleanor Bergstein,The context does not provide sufficient information to answer the question.
"What is the name of the 1982 novel, the subject of which is credited with saving the lives of 1,200 Jews during the Holocaust, including the life of Moshe Taubé?","""Schindler's Ark""",The context does not provide sufficient information to answer the question.
Miranda Cosgrove made her debut through the single that was used as the theme song for the program on which network?,Nickelodeon,The context does not provide sufficient information to answer the question.
The Tupolev ANT-37 design team operated under the guidance of a Soviet aerospace engineer who founded what?,Sukhoi Design Bureau,The context does not provide sufficient information to answer the question.
What J.R.R. Tolkein story set in the Kingdom of Gondor features the minor character Forlong the Fat?,The Return of the King,The context does not provide sufficient information to answer the question.
"What extraterrestrial creature is featured in a film in which the ""Happy New Year"" actor also appears?",alien,The context does not provide sufficient information to answer the question.
Which guest star on the albumn Here and Gone was a member of the soul and R&B group Sam & Dave?,Sam Moore,The context does not provide sufficient information to answer the question.
The Boniface Association owes its name to which Anglo-Saxon missionary through the Frankish Empire?,Saint Boniface,The context does not provide sufficient information to answer the question.
What was the first major theatrical film for the twin actors who stared in Just 4 Kicks?,"""Big Daddy""",The context does not provide sufficient information to answer the question.
Zachary Grey is a fictional character in the young adult novels by an author that died in what year?,2007,The context does not provide sufficient information to answer the question.
When was the ice hockey team that drafted Garrett Wilson in 2009 founded?,1993,The context does not provide sufficient information to answer the question.
Which was published first The Fader or OK!?,OK!,The context does not provide sufficient information to answer the question.
Where did Panathinaikos F.C.'s new coach work before?,Al Jazira,The context does not provide sufficient information to answer the question.
"Who was born first, Alex Segal or Mika Kaurismäki?",Alex Segal,The context does not provide sufficient information to answer the question.
The Other Side was released by the band founded in what year?,2002,The context does not provide sufficient information to answer the question.
"Silver Birch was the winner of the John Smith's Grand National, not to be confused with the John Smith ________ in Tadcaster England?",Brewery,The context does not provide sufficient information to answer the question.
How many novels has the author of A Death in Vienna written?,19,The context does not provide sufficient information to answer the question.
What country is Fraser Heights Secondary School in?,Canada,The context does not provide sufficient information to answer the question.
Where did the tribe inhabit that the electoral district was named after that include an outer southern suburb of Adelaide that lies within the City of Onkaparinga and has the postcode 5173?,Adelaide plains,The context does not provide sufficient information to answer the question.
"Cumberland Sheepdog and East-European Shepherd, are a breed of what?",Dogs,The context does not provide sufficient information to answer the question.
"Who was the English keyboardist/guitarist first featured on the 1969 Chicken Shack album ""100 Ton Chicken""?",Paul Raymond,The context does not provide sufficient information to answer the question.
The father of Grinnell Willis was once the employer of which former slave and future writer?,Harriet Jacobs,The context does not provide sufficient information to answer the question.
What is the net worth of the artist who created Soul of Country Music?,$18 million.,The context does not provide sufficient information to answer the question.
"Tombstone stared an actor born May 17, 1955 known as who?",Bill Paxton,The context does not provide sufficient information to answer the question.
When did Rudyard Kipling's character Baloo's second movie produced?,2003,The context does not provide sufficient information to answer the question.
"In French Gothic architecture, Rayonnant (] ) was the period between c. 1240 and 1350, characterized by a shift in focus away from the High Gothic mode of utilizing great scale and spatial rationalism (such as with buildings like Chartres Cathedral or the nave of Amiens Cathedral) towards a greater concern for two dimensional surfaces and the repetition of decorative motifs at different scale, Chartres Cathedral, also known as the Cathedral of Our Lady of Chartres (French: ""Cathédrale Notre-Dame de Chartres"" ), is a Gothic Catholic cathedral of the Latin Church located in Chartres, France, about 80 km southwest of ?",Paris,The context does not provide sufficient information to answer the question.
"Which company has more subsidiaries under it, American Water or Cisco Systems?",Cisco Systems,The context does not provide sufficient information to answer the question.
Where is the Electoral district of Manly located?,New South Wales,The context does not provide sufficient information to answer the question.
Are both  Carleton University and University of Kansas located in the United States?,no,The context does not provide sufficient information to answer the question.
the work of Alexander Stewart Jolly was strongly influenced by Frank Lloyd Wright's school whose namesake believed in what?,designing structures that were in harmony with humanity and its environment,The context does not provide sufficient information to answer the question.
Cleverdicks was hosted by the Privy Councillor of which party?,Conservative Party,The context does not provide sufficient information to answer the question.
The DeLorean DMC-12 was the only model of car ever made by the company formed in what year?,1975,The context does not provide sufficient information to answer the question.
"In between Mary Poppins and The Santa Clause 2 which one is the second installment in ""The Santa Clause trilogy"", following ""The Santa Clause""?",The Santa Clause 2,The context does not provide sufficient information to answer the question.
Which songwriter that Graeme Allwright translated into French won a Grammy Lifetime Achievement Award in 2009?,Tom Paxton,The context does not provide sufficient information to answer the question.
Marvin Camel was born in what Montana county?,Lake County,The context does not provide sufficient information to answer the question.
Mike Casey was a part of what some consider to be the best recruiting class in UK history which included a player who named an All American how many times?,twice,The context does not provide sufficient information to answer the question.
The Look is the last Shalamar album to feature which dancer and choreographer?,Jeffrey Daniel,The context does not provide sufficient information to answer the question.
What was the population at the 2010 census of the city that has an 18-hole championship golf course founded by the George Bryan family?,"11,307",The context does not provide sufficient information to answer the question.
Christopher Robin appears in the stories of what fictional anthropomorphic teddy bear?,Winnie-the-Pooh,The context does not provide sufficient information to answer the question.
What is the address of the theatre near the The Old Post Office Block in Manchester?,76-96 Hanover Street,The context does not provide sufficient information to answer the question.
What type of media technique does Feed the Kitty and Marc Antony and Pussyfoot have in common?,animation,The context does not provide sufficient information to answer the question.
"Aaron Keith Heal  is an Australian cricketer who played domestically for Western Australia and later the Melbourne Renegades established himself in Western Australia's first-class (Sheffield Shield) and limited-overs (Ford Ranger Cup) sides during the 2006–07 season, taking over from  a left-arm wrist spin bowler, and a lower-order left-handed batsman whose name is what?","George Bradley ""Brad"" Hogg",The context does not provide sufficient information to answer the question.
This voice actor stared as Hanna-Barbera's cartoon character Space Ghost in its American adult animated parody talk show?,George Edward Lowe,The context does not provide sufficient information to answer the question.
"When did the singer of ""Work Hard, Play Harder"" make her debut?",2004,The context does not provide sufficient information to answer the question.
Which Major League Soccer team does Caroline Celico's husband(2005-2015) play for?,Orlando City,The context does not provide sufficient information to answer the question.
The 47th Mr. Olympia competition was run by a Convention Center owned and operated by who?,Las Vegas Convention and Visitors Authority,The context does not provide sufficient information to answer the question.
Lisa Howard created the character of Jenny for this Broadway musical which ran between what dates?,"March 17, 2015 (previews) to August 9, 2015",The context does not provide sufficient information to answer the question.
What 1929 short film did Pierre Batcheff play in?,Un Chien Andalou,The context does not provide sufficient information to answer the question.
What do both Michael Tait and Alissa White-Gluz d0?,lead vocalist,The context does not provide sufficient information to answer the question.
Are Belinda Carlisle and Randy Jackson from the same country?,yes,The context does not provide sufficient information to answer the question.
How many World Series has the team Frank Bushey played for won?,eight,The context does not provide sufficient information to answer the question.
What orphanage was created by transforming the property of a college inaugurated by the tenth Governor General of Canada? ,Mount St. Joseph Orphanage,The context does not provide sufficient information to answer the question.
"Michael Faraday was an early 19th-century British scientist, he contributed to the study of electromagnetism and electrochemistry, and died on which date?",25 August 1867,The context does not provide sufficient information to answer the question.
"Which game can be played by more than 2 players at a time, Game of the Generals or Ludo?",Ludo,The context does not provide sufficient information to answer the question.
Peston on Sunday is hosted by the reporter who got the scoop on which financial crisis in the late-2000s?,Northern Rock,The context does not provide sufficient information to answer the question.
"The Japanese action role-playing game, Rise of Mana, was developed for Sony Interactive Entertainment's PlayStation Vita and what other devices?","iOS, Android",The context does not provide sufficient information to answer the question.
"Who is older, Patty Fendick or Manuela Maleeva?",Patty Fendick,The context does not provide sufficient information to answer the question.
When was the American college football coach and former player born for whom 2007 NCAA Division I FBS football season was the third season as head coach for 2007 Florida Gators football team?,"July 10, 1964",The context does not provide sufficient information to answer the question.
What record company released the album that is a collaboration between Daniel Dumile and Bishop Nehru?,Lex Records,The context does not provide sufficient information to answer the question.
In what year was the actor who starred in both Harry Potter and Cherrybomb born?,1988,The context does not provide sufficient information to answer the question.
Which Taiwanese actress starred in an account of the leadup to the events of 20 July 1973?,Betty Ting Pei,The context does not provide sufficient information to answer the question.
"Which documentary was produced first, Art Is... The Permanent Revolution or Traceroute?",Art Is... The Permanent Revolution,The context does not provide sufficient information to answer the question.
Allen Fieldhouse and the Kansas Jayhawks women's basketball team are both apart of what university?,University of Kansas,The context does not provide sufficient information to answer the question.
What Operatic Singing group did Nathan Lane almost become a member of in Encore! Encore!?,The Three Tenors,The context does not provide sufficient information to answer the question.
Where is the IOC and OBS located?,"Lausanne, Switzerland",The context does not provide sufficient information to answer the question.
A railway constructed along aqueducts in north west England from Heywood to Rawtenstall was built in response to the growing population of what time period?,Industrial Revolution,The context does not provide sufficient information to answer the question.
"Which author won the Nobel Prize in literature earlier, Ernest Hemingway or Elias Canetti?",Ernest Miller Hemingway,The context does not provide sufficient information to answer the question.
Along which creek is the prehistoric effigy mound that William F Romain led a investigative team of archaeologists into in 2011 located?,Ohio Brush Creek,The context does not provide sufficient information to answer the question.
"The host of ""Match of the Day 2"" narrated a game show presented by Duncan James that takes place at what theme park?",Thorpe Park,The context does not provide sufficient information to answer the question.
In between Distaghil Sar and Changtse which one is connected to Mount Everest via the North Col?,Changtse,The context does not provide sufficient information to answer the question.
In the 19th century opera composer Leo Slezak and the infamous Mozart originated from which European country?,"18- and 19th-century composers were drawn to the city due to the patronage of the Habsburgs, and made Vienna the European capital of classical music.",The context does not provide sufficient information to answer the question.
Which member of the LaSalle Quartet had a compsoitional style that combined Romantic lyricism with twelve-tone technique?,Alban Berg,The context does not provide sufficient information to answer the question.
What is the population of the city that has the Gaylord Family Oklahoma Memorial Stadium?,"110,925",The context does not provide sufficient information to answer the question.
Who is the director of the film which was written by  Don Rhyme and which was filmed in the Canadian cities of Vancouver and Calgary?,Michael Lembeck,The context does not provide sufficient information to answer the question.
Are Norma and Idomeneo both operas by Bellini?,no,The context does not provide sufficient information to answer the question.
"Who, Peter Duffell or Graham Cantwell, is an Irish film and television director, best known for directing the feature film ""Anton""?",Graham Cantwell,The context does not provide sufficient information to answer the question.
"The band who had the album ""Brujo"" came from what city?","San Francisco, California",The context does not provide sufficient information to answer the question.
"What year was the man, who founded Moore Capital Management, born?",1956,The context does not provide sufficient information to answer the question.
What German aircraft designed by Seiegfried and Walter Günter at Heinkel Flugzeugwerke in 1934 was operated by Lehrgeschwader 1?,Heinkel He 111,The context does not provide sufficient information to answer the question.
 KBSO broadcasts a subgenre of American country music known for fusing what ?,"traditionalist root sounds (similar to neotraditional country) with the outspoken, care-free views of outlaw country","Question: -  KBSO broadcasts a subgenre of American country music known for fusing what ?
Answer:  KBSO broadcasts a subgenre of American country music known for fusing traditionalist root sounds with the outspoken, care-free views of outlaw country."
how is Genaro Hernández and Jimmy Garcia connected?,boxer,The context does not provide sufficient information to answer the question.
Rich Kotite's replacement in the 1997 New York Jets season has what nickname?,The Big Tuna,The context does not provide sufficient information to answer the question.
"What role-playing games featuring Yungoos and Gumshoos were released a year prior to ""Pokemon Ultra Sun""?","""Pokémon Sun"" and ""Moon""",The context does not provide sufficient information to answer the question.
In what war did the Royal Navy include the Condottieri-class light cruiser Eugenio di Savoia?,World War II,The context does not provide sufficient information to answer the question.
"What technique, taught by Nelly Ben-Or, is an educational process that attempts to develop the ability to avoid unnecessary muscular tension by retraining physical movement reactions?",Alexander Technique,The context does not provide sufficient information to answer the question.
Austrofascism was led by which Austrian Patriotic Front statesman?,Engelbert Dollfuss,The context does not provide sufficient information to answer the question.
"What compound, known as aqua fortis or spirit of niter is used in rocket propellant?","Nitric acid (HNO), also known as aqua fortis and spirit of niter",The context does not provide sufficient information to answer the question.
This band was founded in 2002 by a male vocalist who was born where?,"Basel, Switzerland",The context does not provide sufficient information to answer the question.
Bally's & Paris station is an island platform at the hotel located in which Nevada city?,Paradise,The context does not provide sufficient information to answer the question.
Are Playboy and Fast Company published in the same country?,yes,The context does not provide sufficient information to answer the question.
"which magazine is most like Playboy, Woman's Day or Gallery? ",Gallery,The context does not provide sufficient information to answer the question.
"In which part of Melbourne is the cricket park, at which the 1975 VFL Grand Final, located?",Yarra Park,The context does not provide sufficient information to answer the question.
What name is Jose Ramón Gil Samaniego who starred in the 1932 American Film 'Huddle' best known as?,Ramón Novarro,The context does not provide sufficient information to answer the question.
The Brittish ruling class were involved in which movement?,Irish independence,The context does not provide sufficient information to answer the question.
"The Long Walk Home is a 1990 American historical drama film starring Sissy Spacek and, which American actress, comedian, author, and television host, born November 13, 1955, known professionally as who?",Whoopi Goldberg,The context does not provide sufficient information to answer the question.
Jean Vergnes was the co-founder of a famed eatery owned and operated by who?,LC International LLC,The context does not provide sufficient information to answer the question.
When did the man who commanded the Task Force Tarawa retire? ,8 September 2010,The context does not provide sufficient information to answer the question.
What is the full name of one of the double agents who met Russian handlers at St Ermin's Hotel in London?,Kim Philby,The context does not provide sufficient information to answer the question.
Did both Aleksandr Khinchin and Anatoly Karatsuba specialize in the same sub-field of mathematics?,no,The context does not provide sufficient information to answer the question.
It is likely that in Anglo-Saxon England that the residents of Welwyn Garden City worshiped which diety?,the God Tew,The context does not provide sufficient information to answer the question.
what does Vinci and Senet have in common?,board game,The context does not provide sufficient information to answer the question.
"Which film has one actor playing the most roles, A Christmas Carol or My Dog Tulip?",A Christmas Carol,The context does not provide sufficient information to answer the question.
What song was sung by Arijit Singh in the 2016 Indian romantic drama film written and directed by Karan Johar?,Channa Mereya,The context does not provide sufficient information to answer the question.
Are Cleyera and Calymmanthium the names of genus'?,yes,The context does not provide sufficient information to answer the question.
At the 2008 french open Katarina Srebotnik defeated an American professional tennis player who was born on what date?,"September 26, 1981",The context does not provide sufficient information to answer the question.
The drummer born in 1974 who was one of the hosts of Mammary Lane was born in what state?,Kansas,The context does not provide sufficient information to answer the question.
"Star Wars: The Clone Wars – Lightsaber Duels is a Wii fighting video game, the game was released on November 11, 2008, it features actual voice actors to reprise their roles from the show, such as which American actress and fashion designer, known to audiences of ""Blue Collar TV"" and ""Star Wars Rebels""?",Maria Ashley Eckstein,The context does not provide sufficient information to answer the question.
"Whom did Mathias Schoenaerts portray in the 2012 French–Belgian romantic drama film directed by Jacques Audiard, starring him and Marion Cotillard?",Ali,The context does not provide sufficient information to answer the question.
What year was the actor born that stared in a 1985 American Comedy Head Office?,1948,The context does not provide sufficient information to answer the question.
What American rapper wrote a song based on a power ballad from Aerosmith's 1973 debut Album?,Eminem,The context does not provide sufficient information to answer the question.
"W*A*L*T*E*R, starring American actor Gary Burghoff, was a 1984 pilot episode spin-off of which series in which Burghoff played Radar?",M*A*S*H,The context does not provide sufficient information to answer the question.
"In what year was the album containing ""Keep Hope Alive"" certified platinum?",2007,The context does not provide sufficient information to answer the question.
What code was named after the man who also had Fort Kearny named after him?,The Kearny code,The context does not provide sufficient information to answer the question.
which  American musician was the guilterist of the Serenity of Suffering,Brian Philip Welch,The context does not provide sufficient information to answer the question.
How many new skyscrapers are being rebuilt along Greenwich Street in the wake of September 11?,five,"How many new skyscrapers are being rebuilt along Greenwich Street in the wake of September 11?
```
```"
American heavy metal band Metallica released the song co-written by Kirk Hammett in which album that had five singles?,Metallica,The context does not provide sufficient information to answer the question.
"John Crowley, who is an American biotechnology executive and entrepreneur, and his wife Aileen are the real life inspiration for the movie ""Extraordinary Measures"" after creating a biotechnology company to save the lives of their children who have what life-threatening disease?",Pompe's disease,The context does not provide sufficient information to answer the question.
"Which retailer of Spring Ram Retail Park have more than 370 stores and 6,000 employees?",Pets at Home,The context does not provide sufficient information to answer the question.
Katrin Juliet Carlidge played in what film from the Trier's Golden Heart Trilogy?,Breaking the Waves,The context does not provide sufficient information to answer the question.
Holliday Grainger starred in what film distributed by Lionsgate?,Great Expectations,The context does not provide sufficient information to answer the question.
Are LCD Soundsystem and Recovery Child rock bands?,yes,The context does not provide sufficient information to answer the question.
"What was this Grammy award category originally called that Jay-Z's ""Vol. 2... Hard Knock Life"" won at the 1999 Grammy Awards?",Gramophone Awards,The context does not provide sufficient information to answer the question.
In what year was the school at which Simon Brown was Head of Academic and Choral Music for 12 years awarded the UNESCO Mozart Medal?,2003,The context does not provide sufficient information to answer the question.
"Which is a documentary about a satirist, Call Me Lucky or Eclipse of Reason?",Call Me Lucky,The context does not provide sufficient information to answer the question.
What was the company orginally named first?,Dell Technologies,The context does not provide sufficient information to answer the question.
What was known as anti-Bolshevik lieutenant general and fought against the 36th Rifle Division in campaign?,Roman von Ungern-Sternberg,The context does not provide sufficient information to answer the question.
